,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
15106,유치원,아이들세상유치원,서울특별시 성동구 독서당로 272,서울특별시 성동구 금호동4가 800,37.54532877,127.017941,서울특별시 성동구,성동경찰서,Y,1.0,5.5,2021-03-03,3030000,서울특별시 성동구
15107,어린이집,조은어린이집,서울특별시 동대문구 답십리로56길 21,서울특별시 동대문구 답십리동 990,37.57007076,127.0598623,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15108,어린이집,꿈마루어린이집,서울특별시 동대문구 전농로36길 29-3,서울특별시 동대문구 전농동 103-53,37.58550219,127.0540414,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15109,어린이집,배봉어린이집,서울특별시 동대문구 사가정로25길 51,서울특별시 동대문구 장안동 94-61,37.5811645,127.0706374,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15110,어린이집,햇살어린이집,서울특별시 동대문구 청계천로 547,서울특별시 동대문구 용두동 696-9,37.57281917,127.0369829,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15111,어린이집,별밭어린이집,서울특별시 동대문구 답십리로66길 3,서울특별시 동대문구 장안동 388,37.57234503,127.0685733,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15112,어린이집,이화어린이집,서울특별시 동대문구 장한로26다길 38,서울특별시 동대문구 장안동 341-5,37.57007078,127.0727032,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15113,어린이집,중앙삐아제어린이집,서울특별시 동대문구 한천로63길 5-8,서울특별시 동대문구 이문동 217-1,37.60403447,127.0667747,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15114,어린이집,영유아프라자어린이집,서울특별시 동대문구 약령시로7길 19,서울특별시 동대문구 제기동 227-2,37.58372345,127.0346575,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15115,어린이집,회기어린이집,서울특별시 동대문구 회기로 165,서울특별시 동대문구 회기동 58-1,37.59067813,127.0545526,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15116,어린이집,예다미어린이집,서울특별시 동대문구 천장산로 38-1,서울특별시 동대문구 이문동 264-117,37.59934457,127.0577394,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15117,어린이집,사군자어린이집,서울특별시 동대문구 장한로5길 45,서울특별시 동대문구 장안동 403-5,37.56510957,127.0638865,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15118,어린이집,예나어린이집,서울특별시 동대문구 경동시장로23길14,서울특별시 동대문구 제기동 681-2,37.58574501,127.0394775,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15119,어린이집,산내들어린이집,서울특별시 동대문구 답십리로59가길14,서울특별시 동대문구 답십리동 1-304,37.57387476,127.0660298,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15120,어린이집,삼성어린이집,서울특별시 동대문구 한천로26길 43,서울특별시 동대문구 장안동 389-4,37.57128823,127.0682469,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15121,어린이집,더불어숲어린이집,서울특별시 동대문구 한천로33길 11,서울특별시 동대문구 답십리동 1000-1,37.57567472,127.0669941,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15122,어린이집,오르다어린이집,서울특별시 동대문구 답십리로48길 24,서울특별시 동대문구 답십리동 52-5,37.57180533,127.0577463,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15123,어린이집,우아세어린이집,서울특별시 동대문구 답십리로48길 38,서울특별시 동대문구 답십리동 50-35,37.57114155,127.0577034,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15124,어린이집,세서울어린이집,서울특별시 동대문구 한천로26길 23,서울특별시 동대문구 장안동 144-17,37.57172101,127.067234,서울특별시 동대문구청,동대문경찰서,Y,1.0,,2021-02-15,3050000,서울특별시 동대문구
15125,어린이집,구청(직장)어린이집,서울특별시 동대문구 고산자로28길 13,서울특별시 동대문구 용두동 29-3,37.57530824,127.0391472,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15126,어린이집,청정원어린이집,서울특별시 동대문구 난계로30길 31,서울특별시 동대문구 신설동 103-13,37.574139,127.025153,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15127,어린이집,솔향기어린이집,서울특별시 동대문구 장한로26다길 77,서울특별시 동대문구 장안동 339-6,37.568331,127.071985,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15128,어린이집,연세어린이집,서울특별시 동대문구 장한로27나길 65,서울특별시 동대문구 장안동 289-31,37.57607996,127.0704404,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15129,어린이집,새하늘어린이집,서울특별시 동대문구 왕산로 312,서울특별시 동대문구 휘경동 343-4,37.587691,127.053698,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15130,어린이집,언덕위하얀어린이집,서울특별시 동대문구 약령시로3길 38,서울특별시 동대문구 제기동 158-20,37.584058,127.032297,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15131,어린이집,대림늘푸른어린이집,서울특별시 동대문구 답십리로60길 40,서울특별시 동대문구 답십리동 808-2,37.571142,127.0644009968,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15132,어린이집,장안현대어린이집,서울특별시 동대문구 장안벗꽃로 107 현대홈타운(아),서울특별시 동대문구 장안동 366,37.569744,127.074611,서울특별시 동대문구청,동대문경찰서,Y,0.0,,2021-02-15,3050000,서울특별시 동대문구
15133,초등학교,한남초교(병설유치원),서울특벽시 용산구 한남대로 112,서울특별시 용산구 한남동 726-1,37.5392032028,127.0055986027,용산구청,용산경찰서,Y,,10,2020-02-18,3020000,서울특별시 용산구
15134,어린이집,신금호자이어린이집,서울특별시 성동구 금호로 173,서울특별시 성동구 금호동2가 1,37.5562227,127.0181532,서울특별시 성동구,성동경찰서,Y,1.0,7,2021-03-03,3030000,서울특별시 성동구
15135,어린이집,꿈터어린이집,서울특별시 성동구 용답동 용답중앙길 89-2 꿈터어린이집,서울특별시 성동구 용답동 19-9,37.5623123,127.055149,서울특별시 성동구,성동경찰서,Y,1.0,7~11,2021-03-03,3030000,서울특별시 성동구
15136,어린이집,구립홍익어린이집,서울특별시 성동구 상왕십리동 마장로 141,서울특별시 성동구 상왕십리동 813,37.56783247,127.0256323,서울특별시 성동구,성동경찰서,Y,1.0,7,2021-03-03,3030000,서울특별시 성동구
15137,어린이집,구립용답어린이집,서울특별시 성동구 자동차시장길 22,서울특별시 성동구 용답동 223-5,37.56118504,127.0564009,서울특별시 성동구,성동경찰서,Y,1.0,11~15,2021-03-03,3030000,서울특별시 성동구
15138,어린이집,구립성모어린이집,서울특별시 성동구 청계천로 506,서울특별시 성동구 마장동 527-14,37.57037131,127.033489,서울특별시 성동구,성동경찰서,Y,1.0,6~14,2021-03-03,3030000,서울특별시 성동구
15139,어린이집,구립금일어린이집,서울특별시 성동구 금호동1가 난계로 18 금일어린이집,서울특별시 성동구 금호동1가 622-1,37.55364643,127.0249032,서울특별시 성동구,성동경찰서,Y,1.0,8~9,2021-03-03,3030000,서울특별시 성동구
15140,어린이집,연꽃어린이집,서울특별시 성동구 한림말길 16-5,서울특별시 성동구 옥수동 204-8,37.5404159,127.012722,서울특별시 성동구,성동경찰서,Y,1.0,12,2021-03-03,3030000,서울특별시 성동구
15141,어린이집,마장어린이집,서울특별시 성동구 마장로44길 10,서울특별시 성동구 마장동 780,37.566426,127.0455793,서울특별시 성동구,성동경찰서,Y,1.0,24,2021-03-03,3030000,서울특별시 성동구
15142,어린이집,행응어린이집,서울특별시 성동구 독서당로63길 34,서울특별시 성동구 행당동 341-42,37.553126,127.0313028,서울특별시 성동구,성동경찰서,Y,1.0,7,2021-03-03,3030000,서울특별시 성동구
15143,유치원,로사유치원,서울특별시 성동구 성덕정길 23,서울특별시 성동구 성수동1가 110,37.5394137,127.0462961,서울특별시 성동구,성동경찰서,Y,1.0,4~9,2021-03-03,3030000,서울특별시 성동구
15144,유치원,옥수삼성유치원,서울특별시 성동구 독서당로 218,서울특별시 성동구 옥수동 250,37.54262971,127.0155564,서울특별시 성동구,성동경찰서,Y,1.0,6~8.5,2021-03-03,3030000,서울특별시 성동구
15145,유치원,옥정병설유치원,서울특별시 성동구 한림말길 43,서울특별시 성동구 옥수동 233-16,37.54230893,127.0157872,서울특별시 성동구,성동경찰서,Y,1.0,6~8.5,2021-03-03,3030000,서울특별시 성동구
15146,유치원,옥수병설유치원,서울특별시 성동구 금호로1길 25,서울특별시 성동구 금호동4가 440-12,37.54552993,127.0218712,서울특별시 성동구,성동경찰서,Y,1.0,4~13,2021-03-03,3030000,서울특별시 성동구
15147,유치원,사근병설유치원,서울특별시 성동구 사근동11길 16,서울특별시 성동구 사근동 291-5,37.56268098,127.0475736,서울특별시 성동구,성동경찰서,Y,1.0,8~10,2021-03-03,3030000,서울특별시 성동구
15148,유치원,마장병설유치원,서울특별시 성동구 마장동 마장로29길 29 동명초등학교 가동,서울특별시 성동구 마장동 556,37.56877574,127.0362219,서울특별시 성동구,성동경찰서,Y,1.0,8,2021-03-03,3030000,서울특별시 성동구
15149,유치원,경수병설유치원,서울특별시 성동구 뚝섬로13길 22,서울특별시 성동구 성수동2가 268,37.54043604,127.0580689,서울특별시 성동구,성동경찰서,Y,1.0,8,2021-03-03,3030000,서울특별시 성동구
15150,유치원,한양여대부속유치원,서울특별시 성동구 사근동10길 24,서울특별시 성동구 사근동 147,37.55947642,127.0490746,서울특별시 성동구,성동경찰서,Y,1.0,7,2021-03-03,3030000,서울특별시 성동구
15151,초등학교,한양초등학교,서울특별시 성동구 살곶이길 208,서울특별시 성동구 사근동 110,37.55746532,127.0503041,서울특별시 성동구,성동경찰서,Y,1.0,20,2021-03-03,3030000,서울특별시 성동구
15152,초등학교,숭신초등학교,서울특별시 성동구 마장로 161,서울특별시 성동구 하왕십리동 1068,37.56735897,127.0277291,서울특별시 성동구,성동경찰서,Y,1.0,10~20,2021-03-03,3030000,서울특별시 성동구
15153,초등학교,동호초등학교,서울특별시 성동구 동호로5길 133,서울특별시 성동구 옥수동 556-1,37.54646136,127.0100124,서울특별시 성동구,성동경찰서,Y,1.0,5~9,2021-03-03,3030000,서울특별시 성동구
15154,초등학교,송원초등학교,서울특별시 성동구 동일로43길 9,서울특별시 성동구 송정동 72-8,37.55415747,127.069528,서울특별시 성동구,성동경찰서,Y,7.0,4~8,2021-03-03,3030000,서울특별시 성동구
15155,초등학교,행현초등학교,서울특별시 성동구 행당로 95,서울특별시 성동구 행당동 317-18,37.5577098,127.0293584,서울특별시 성동구,성동경찰서,Y,3.0,12~20,2021-03-03,3030000,서울특별시 성동구
15156,초등학교,행당초등학교,서울특별시 성동구 행당동 고산자로8길 6 행당초등학교,서울특별시 성동구 행당동 320-60,37.55701994,127.0348717,서울특별시 성동구,성동경찰서,Y,5.0,4~8,2021-03-03,3030000,서울특별시 성동구
15157,초등학교,성수초등학교,서울특별시 성동구 성수동2가 아차산로17길 21 성수초등학교,서울특별시 성동구 성수동2가 277-32,37.54413995,127.0635118,서울특별시 성동구,성동경찰서,Y,3.0,5~8,2021-03-03,3030000,서울특별시 성동구
15158,초등학교,응봉초등학교,서울특별시 성동구 독서당로62길 28,서울특별시 성동구 응봉동 205-1,37.55025195,127.0338274,서울특별시 성동구,성동경찰서,Y,2.0,4~12,2021-03-03,3030000,서울특별시 성동구
15159,초등학교,금북초등학교,서울특별시 성동구 행당로1길 13,서울특별시 성동구 금호동1가 48-2,37.557465,127.023576,서울특별시 성동구,성동경찰서,Y,6.0,5~20,2021-03-03,3030000,서울특별시 성동구
