시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
초등학교,효원초교,경기도 수원시 영통구 효원로358번길 16,경기도 수원시 영통구 매탄동 1155,37.25913028,127.039915,경기도 수원시청,남부경찰서,Y,2,6~38,2021-03-05,3740000,경기도 수원시,경기도
초등학교,송정초교,경기도 수원시 장안구 송정로 41,경기도 수원시 장안구 송죽동 404,37.29707799,127.0017098,경기도 수원시청,중부경찰서,Y,5,20,2021-03-05,3740000,경기도 수원시,경기도
초등학교,우천초등학교,강원도 횡성군 우천면 수남로 319,강원도 횡성군 우천면 우항리 623-1,37.461128,128.0615768514,횡성군,횡성경찰서,Y,2,12,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,성북초등학교,강원도 횡성군 횡성읍 성북로 10,강원도 횡성군 횡성읍 읍상리 82,37.4902346825,127.9918713245,횡성군,횡성경찰서,Y,11,25,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,안흥초등학교,강원도 횡성군 안흥면 서동로 1257,강원도 횡성군 안흥면 안흥리 89-1,37.4207713378,128.1644918354,횡성군,횡성경찰서,Y,1,10,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,서원초등학교,강원도 횡성군 서원면 서원로 173,강원도 횡성군 서원면 창촌리 579,37.4875501116,127.8510704456,횡성군,횡성경찰서,Y,1,10,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,정금초등학교,강원도 횡성군 우천면 경강로 3276,강원도 횡성군 우천면 정금리 507-4,37.5055216179,128.1048898162,횡성군,횡성경찰서,Y,1,10,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,강림초등학교,강원도 횡성군 강림면 태종로강림4길 11,강원도 횡성군 강림면 강림리 1562,37.3584067101,128.1200150899,횡성군,횡성경찰서,Y,3,10,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,공근초등학교,강원도 횡성군 공근면 영서로 207,강원도 횡성군 공근면 학담리 113,37.5337168650,127.9609624994,횡성군,횡성경찰서,Y,1,6,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,성남초등학교,강원도 횡성군 횡성읍 횡성로 109,강원도 횡성군 횡성읍 곡교리 244-1,37.4652635458,127.9729080587,횡성군,횡성경찰서,Y,2,8,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,수백초등학교,강원도 횡성군 공근면 공근남로 446,강원도 횡성군 공근면 수백리 341-3,37.5343829180,128.0073001540,횡성군,횡성경찰서,Y,1,8,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,유현초등학교,강원도 횡성군 서원면 경강로 711,강원도 횡성군 서원면 유현리 362-1,37.5266616114,127.8748789712,횡성군,횡성경찰서,Y,1,12,2020-12-22,4260000,강원도 횡성군,강원도
